appendix_table,source_pdf,section,memory_construction_model,modeling_type,inference_model,pdf_y,p_em,ea_precision,ea_recall,ea_f1,oa_precision,oa_recall,oa_f1
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,GPT-4o-mini,388.171,26.96,74.29,66.80,70.35,63.09,64.13,63.61
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,CodeGemma-7B-Instruct,380.998,15.70,66.44,65.19,65.81,59.40,61.52,60.45
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,Gemma-3-12B-Instruct,373.825,2.39,78.13,69.62,73.63,73.84,55.26,63.21
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,R1-Distill-Llama-8B,361.649,4.66,57.10,47.16,51.66,50.79,36.50,42.47
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,R1-Distill-Qwen-7B,354.476,4.24,50.13,43.51,46.59,42.70,33.26,37.39
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,GPT-5 [high],347.303,19.92,69.86,63.95,66.77,63.87,52.87,57.85
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,Gemini-3-Flash [high],340.130,15.68,71.36,70.09,70.72,58.02,59.24,58.62
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,GPT-5-mini [high],332.957,13.56,68.77,65.19,66.93,62.49,52.47,57.05
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,GPT-4o-mini,325.784,7.63,70.57,70.24,70.41,59.71,54.18,56.81
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,CodeGemma-7B-Instruct,318.611,1.06,67.87,68.61,68.24,58.85,51.96,55.19
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Transfer,Gemma-3-12B-Instruct,311.438,0.00,75.39,74.28,74.83,74.86,54.35,62.98
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,R1-Distill-Llama-8B,274.442,42.17,67.58,57.48,62.12,68.74,56.70,62.14
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,R1-Distill-Qwen-7B,267.269,34.34,62.07,56.79,59.31,60.45,51.47,55.60
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,GPT-5 [high],260.096,46.69,70.96,62.69,66.57,67.96,64.22,66.04
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,Gemini-3-Flash [high],252.923,56.63,74.11,71.47,72.77,70.90,76.24,73.47
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,GPT-5-mini [high],245.750,40.96,69.48,64.33,66.81,64.92,64.68,64.80
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,GPT-4o-mini,238.577,48.80,75.90,69.55,72.58,68.85,68.35,68.60
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,CodeGemma-7B-Instruct,231.404,58.43,73.30,66.67,69.83,71.35,69.45,70.39
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Recall,Gemma-3-12B-Instruct,224.231,23.80,81.63,75.58,78.49,80.91,60.64,69.32
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,R1-Distill-Llama-8B,212.056,24.57,67.55,57.93,62.37,62.16,56.70,59.30
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,R1-Distill-Qwen-7B,204.883,16.72,63.49,53.76,58.22,54.92,46.87,50.57
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,GPT-5 [high],197.710,39.59,70.08,60.75,65.08,65.10,64.03,64.56
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,Gemini-3-Flash [high],190.537,29.01,72.27,67.61,69.86,63.24,70.49,66.67
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,GPT-5-mini [high],183.364,36.86,70.54,64.38,67.32,65.20,67.21,66.19
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,GPT-4o-mini,176.191,30.03,75.00,66.94,70.74,65.69,69.43,67.51
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,CodeGemma-7B-Instruct,169.018,17.75,67.85,64.11,65.93,60.84,62.78,61.79
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Induction,Gemma-3-12B-Instruct,161.845,8.87,79.94,69.62,74.43,77.89,54.00,63.78
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,R1-Distill-Llama-8B,149.669,5.51,59.18,48.33,53.21,53.01,37.52,43.94
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,R1-Distill-Qwen-7B,142.496,5.08,53.56,45.53,49.22,45.96,34.91,39.68
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,GPT-5 [high],135.323,31.99,70.21,63.71,66.80,62.62,57.53,59.97
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,Gemini-3-Flash [high],128.150,22.46,71.53,69.70,70.60,58.83,62.71,60.70
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,GPT-5-mini [high],120.977,29.24,68.90,66.28,67.56,61.03,59.75,60.38
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,GPT-4o-mini,113.804,11.65,69.85,69.31,69.58,58.65,55.71,57.14
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,CodeGemma-7B-Instruct,106.631,1.91,66.74,66.90,66.82,56.09,50.77,53.30
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,GPT-4o-mini,Preference Transfer,Gemma-3-12B-Instruct,99.458,0.21,75.24,73.89,74.56,74.84,54.12,62.82
