example_id,session_index,attempts,orig_input,orig_output,orig_total,no_reason_input,no_reason_output,no_reason_total,output_only_no_reason_input,output_only_no_reason_output,output_only_no_reason_total,reasoning_output_delta,reasoning_verifier_input_delta,reasoning_generation_input_delta,stored_full,stored_no_reason,implicit_only
dev_0009,4,1,4129,183,4312,3960,90,4050,4129,90,4219,93,93,76,131,38,30
dev_0009,5,1,5315,207,5522,5122,107,5229,5315,107,5422,100,100,93,144,44,36
dev_0009,6,1,6108,167,6275,5927,86,6013,6108,86,6194,81,81,100,114,33,25
dev_0032,1,1,950,117,1067,865,32,897,950,32,982,85,85,0,107,22,14
dev_0032,2,1,1828,161,1989,1650,68,1718,1828,68,1896,93,93,85,117,24,16
dev_0032,3,1,2524,179,2703,2343,91,2434,2524,91,2615,88,88,93,119,31,23
dev_0032,4,1,2961,164,3125,2787,78,2865,2961,78,3039,86,86,88,116,30,22
dev_0032,5,1,4191,167,4358,4021,83,4104,4191,83,4274,84,84,86,121,37,29
dev_0032,6,1,5161,162,5323,5005,90,5095,5161,90,5251,72,72,84,108,36,28
dev_0032,7,1,5904,155,6059,5766,89,5855,5904,89,5993,66,66,72,100,34,26
dev_0027,1,1,1098,105,1203,1029,36,1065,1098,36,1134,69,69,0,95,26,18
dev_0027,2,1,1745,191,1936,1564,79,1643,1745,79,1824,112,112,69,144,32,24
dev_0027,3,2,4393,366,4759,3879,173,4052,4393,173,4566,193,193,321,129,33,25
dev_0027,4,1,2477,173,2650,2286,78,2364,2477,78,2555,95,95,96,124,29,21
dev_0027,5,1,2843,163,3006,2653,68,2721,2843,68,2911,95,95,95,125,30,22
dev_0027,6,1,3537,180,3717,3340,78,3418,3537,78,3615,102,102,95,138,36,28
dev_0027,7,1,3876,175,4051,3687,88,3775,3876,88,3964,87,87,102,122,35,27
dev_0029,1,1,1500,152,1652,1425,77,1502,1500,77,1577,75,75,0,99,24,16
dev_0029,2,1,1958,181,2139,1803,101,1904,1958,101,2059,80,80,75,115,35,27
dev_0029,3,1,2576,152,2728,2425,81,2506,2576,81,2657,71,71,80,105,34,26
dev_0029,4,1,3290,178,3468,3120,79,3199,3290,79,3369,99,99,71,137,38,30
dev_0029,5,1,4678,181,4859,4491,93,4584,4678,93,4771,88,88,99,125,37,29
dev_0029,6,1,5337,189,5526,5148,88,5236,5337,88,5425,101,101,88,138,37,29
dev_0029,7,1,5594,193,5787,5395,95,5490,5594,95,5689,98,98,101,138,40,32
dev_0029,8,1,6608,205,6813,6394,89,6483,6608,89,6697,116,116,98,154,38,30
dev_0031,1,1,1536,111,1647,1461,36,1497,1536,36,1572,75,75,0,101,26,18
dev_0031,2,1,2117,114,2231,1970,42,2012,2117,42,2159,72,72,75,104,32,24
dev_0031,3,1,2908,114,3022,2759,37,2796,2908,37,2945,77,77,72,104,27,19
dev_0031,4,1,3627,125,3752,3471,46,3517,3627,46,3673,79,79,77,115,36,28
dev_0031,5,1,4195,130,4325,4033,47,4080,4195,47,4242,83,83,79,120,37,29
dev_0031,6,1,4622,173,4795,4453,87,4540,4622,87,4709,86,86,83,128,42,34
dev_0031,7,1,5222,166,5388,5055,85,5140,5222,85,5307,81,81,86,116,35,27
dev_0031,8,1,5444,178,5622,5262,77,5339,5444,77,5521,101,101,81,132,31,23
dev_0031,9,1,6080,182,6262,5885,88,5973,6080,88,6168,94,94,101,126,32,24
dev_0031,10,1,6493,173,6666,6306,80,6386,6493,80,6573,93,93,94,125,32,24
dev_0021,1,1,1199,152,1351,1133,86,1219,1199,86,1285,66,66,0,90,24,16
dev_0021,2,1,1501,111,1612,1364,40,1404,1501,40,1541,71,71,66,101,30,22
dev_0021,3,1,2451,154,2605,2307,81,2388,2451,81,2532,73,73,71,106,33,25
dev_0021,4,1,3422,160,3582,3266,77,3343,3422,77,3499,83,83,73,116,33,25
dev_0021,5,1,4185,163,4348,4029,90,4119,4185,90,4275,73,73,83,105,32,24
dev_0021,6,1,4862,183,5045,4685,79,4764,4862,79,4941,104,104,73,137,33,25
dev_0021,7,1,5480,191,5671,5262,77,5339,5480,77,5557,114,114,104,153,39,31
dev_0021,8,1,6226,174,6400,6018,80,6098,6226,80,6306,94,94,114,133,39,31
dev_0021,9,1,6920,179,7099,6732,85,6817,6920,85,7005,94,94,94,133,39,31
dev_0028,1,1,1068,137,1205,977,46,1023,1068,46,1114,91,91,0,127,36,28
dev_0028,2,1,1815,124,1939,1641,41,1682,1815,41,1856,83,83,91,114,31,23
dev_0028,3,1,2341,153,2494,2178,73,2251,2341,73,2414,80,80,83,113,33,25
dev_0028,4,1,2943,183,3126,2768,88,2856,2943,88,3031,95,95,80,130,35,27
dev_0028,5,1,4042,158,4200,3865,76,3941,4042,76,4118,82,82,95,114,32,24
dev_0028,6,1,4555,168,4723,4379,74,4453,4555,74,4629,94,94,82,123,29,21
dev_0028,7,1,5077,169,5246,4900,86,4986,5077,86,5163,83,83,94,116,33,25
dev_0028,8,1,6210,196,6406,6022,91,6113,6210,91,6301,105,105,83,150,45,37
dev_0028,9,1,6720,187,6907,6518,90,6608,6720,90,6810,97,97,105,142,45,37
dev_0020,1,1,960,103,1063,893,36,929,960,36,996,67,67,0,93,26,18
dev_0020,2,1,1613,112,1725,1472,38,1510,1613,38,1651,74,74,67,102,28,20
dev_0020,3,1,2432,118,2550,2282,42,2324,2432,42,2474,76,76,74,108,32,24
dev_0020,4,1,3318,136,3454,3148,42,3190,3318,42,3360,94,94,76,126,32,24
dev_0020,5,1,3672,146,3818,3480,48,3528,3672,48,3720,98,98,94,136,38,30
dev_0020,6,1,5065,170,5235,4873,76,4949,5065,76,5141,94,94,98,129,35,27
dev_0020,7,1,5433,176,5609,5252,89,5341,5433,89,5522,87,87,94,130,43,35
dev_0020,8,1,6120,175,6295,5949,91,6040,6120,91,6211,84,84,87,130,46,38
dev_0020,9,1,6526,190,6716,6351,99,6450,6526,99,6625,91,91,84,130,39,31
dev_0020,10,1,7232,182,7414,7046,87,7133,7232,87,7319,95,95,91,140,45,37
dev_0045,1,1,1572,119,1691,1489,36,1525,1572,36,1608,83,83,0,109,26,18
dev_0045,2,1,2412,115,2527,2253,39,2292,2412,39,2451,76,76,83,105,29,21
dev_0045,3,1,3616,117,3733,3460,37,3497,3616,37,3653,80,80,76,107,27,19
dev_0045,4,1,4131,156,4287,3973,78,4051,4131,78,4209,78,78,80,112,34,26
dev_0045,5,1,4748,112,4860,4602,44,4646,4748,44,4792,68,68,78,102,34,26
dev_0039,1,1,1453,190,1643,1347,84,1431,1453,84,1537,106,106,0,140,34,26
dev_0039,2,1,2376,196,2572,2178,104,2282,2376,104,2480,92,92,106,124,32,24
dev_0039,3,1,3108,174,3282,2921,79,3000,3108,79,3187,95,95,92,124,29,21
dev_0039,4,1,4028,175,4203,3840,82,3922,4028,82,4110,93,93,95,128,35,27
dev_0039,5,1,4651,197,4848,4451,90,4541,4651,90,4741,107,107,93,149,42,34
dev_0039,6,1,5154,199,5353,4937,89,5026,5154,89,5243,110,110,107,151,41,33
dev_0022,1,1,1476,170,1646,1394,88,1482,1476,88,1564,82,82,0,115,33,25
dev_0022,2,1,2146,168,2314,1974,78,2052,2146,78,2224,90,90,82,121,31,23
dev_0022,3,1,3866,210,4076,3670,104,3774,3866,104,3970,106,106,90,145,39,31
dev_0022,4,1,4268,167,4435,4085,90,4175,4268,90,4358,77,77,106,111,34,26
dev_0022,5,1,4989,164,5153,4833,85,4918,4989,85,5074,79,79,77,114,35,27
dev_0022,6,1,5578,186,5764,5397,84,5481,5578,84,5662,102,102,79,136,34,26
dev_0022,7,1,6027,198,6225,5816,89,5905,6027,89,6116,109,109,102,151,42,34
dev_0022,8,1,6795,191,6986,6601,106,6707,6795,106,6901,85,85,109,128,43,35
dev_0022,9,1,7076,160,7236,6911,80,6991,7076,80,7156,80,80,85,110,30,22
dev_0025,1,2,3082,387,3469,2792,192,2984,3082,192,3274,195,195,95,141,41,33
dev_0025,2,1,2186,194,2380,1976,84,2060,2186,84,2270,110,110,100,141,31,23
dev_0025,3,1,2373,166,2539,2181,84,2265,2373,84,2457,82,82,110,116,34,26
dev_0025,4,1,3020,159,3179,2858,79,2937,3020,79,3099,80,80,82,108,28,20
dev_0025,5,1,3479,171,3650,3316,88,3404,3479,88,3567,83,83,80,115,32,24
dev_0025,6,1,3869,165,4034,3709,88,3797,3869,88,3957,77,77,83,114,37,29
dev_0025,7,1,4220,184,4404,4053,94,4147,4220,94,4314,90,90,77,128,38,30
dev_0025,8,1,4999,190,5189,4815,96,4911,4999,96,5095,94,94,90,135,41,33
dev_0030,1,1,1019,164,1183,953,98,1051,1019,98,1117,66,66,0,104,38,30
dev_0030,2,1,1577,148,1725,1436,73,1509,1577,73,1650,75,75,66,109,34,26
dev_0030,3,1,2539,156,2695,2386,78,2464,2539,78,2617,78,78,75,112,34,26
dev_0030,4,1,3322,156,3478,3129,41,3170,3322,41,3363,115,115,78,146,31,23
dev_0030,5,1,4032,166,4198,3839,88,3927,4032,88,4120,78,78,115,116,38,30
dev_0030,6,1,5062,176,5238,4892,84,4976,5062,84,5146,92,92,78,130,38,30
dev_0030,7,1,5583,179,5762,5388,76,5464,5583,76,5659,103,103,92,141,38,30
dev_0030,8,1,6136,171,6307,5950,88,6038,6136,88,6224,83,83,103,121,38,30
dev_0030,9,1,6891,186,7077,6710,88,6798,6891,88,6979,98,98,83,136,38,30
dev_0030,10,1,7312,170,7482,7128,84,7212,7312,84,7396,86,86,98,120,34,26
dev_0015,1,1,1574,141,1715,1481,48,1529,1574,48,1622,93,93,0,131,38,30
dev_0015,2,1,2756,139,2895,2573,49,2622,2756,49,2805,90,90,93,129,39,31
dev_0015,3,1,3583,189,3772,3405,101,3506,3583,101,3684,88,88,90,130,42,34
dev_0015,4,1,4404,172,4576,4225,81,4306,4404,81,4485,91,91,88,130,39,31
dev_0015,5,1,5376,199,5575,5169,83,5252,5376,83,5459,116,116,91,154,38,30
dev_0015,6,1,6175,169,6344,5942,52,5994,6175,52,6227,117,117,116,159,42,34
dev_0015,7,1,6830,188,7018,6606,81,6687,6830,81,6911,107,107,117,145,38,30
dev_0015,8,1,7829,185,8014,7620,83,7703,7829,83,7912,102,102,107,142,40,32
dev_0015,9,1,9168,192,9360,8958,84,9042,9168,84,9252,108,108,102,148,40,32
dev_0015,10,1,10237,184,10421,10019,74,10093,10237,74,10311,110,110,108,141,31,23
dev_0047,1,1,1323,170,1493,1204,51,1255,1323,51,1374,119,119,0,160,41,33
dev_0047,2,1,2112,191,2303,1894,92,1986,2112,92,2204,99,99,119,130,31,23
dev_0047,3,1,3526,207,3733,3324,104,3428,3526,104,3630,103,103,99,150,47,39
dev_0047,4,1,4263,167,4430,4076,83,4159,4263,83,4346,84,84,103,119,35,27
dev_0047,5,1,4989,208,5197,4790,93,4883,4989,93,5082,115,115,84,158,43,35
dev_0047,6,1,5678,182,5860,5468,87,5555,5678,87,5765,95,95,115,140,45,37
dev_0046,1,2,2100,308,2408,1864,161,2025,2100,161,2261,147,147,89,79,21,13
dev_0046,2,1,1730,181,1911,1577,86,1663,1730,86,1816,95,95,58,129,34,26
dev_0046,3,1,2948,179,3127,2757,83,2840,2948,83,3031,96,96,95,133,37,29
dev_0046,4,1,3788,185,3973,3588,81,3669,3788,81,3869,104,104,96,141,37,29
dev_0046,5,1,4746,202,4948,4540,100,4640,4746,100,4846,102,102,104,139,37,29
dev_0046,6,1,5552,186,5738,5345,81,5426,5552,81,5633,105,105,102,143,38,30
dev_0048,1,1,837,98,935,768,29,797,837,29,866,69,69,0,88,19,11
dev_0048,2,1,1413,189,1602,1253,98,1351,1413,98,1511,91,91,69,119,28,20
dev_0048,3,1,2080,209,2289,1885,105,1990,2080,105,2185,104,104,91,139,35,27
dev_0048,4,1,2510,160,2670,2329,83,2412,2510,83,2593,77,77,104,113,36,28
dev_0048,5,1,3130,152,3282,2970,69,3039,3130,69,3199,83,83,77,113,30,22
dev_0048,6,1,3713,138,3851,3545,53,3598,3713,53,3766,85,85,83,128,43,35
dev_0048,7,1,4578,194,4772,4404,105,4509,4578,105,4683,89,89,85,130,41,33
dev_0040,1,1,1153,126,1279,1062,35,1097,1153,35,1188,91,91,0,116,25,17
dev_0040,2,1,1619,141,1760,1422,35,1457,1619,35,1654,106,106,91,131,25,17
dev_0040,3,1,2014,127,2141,1819,38,1857,2014,38,2052,89,89,106,117,28,20
dev_0040,4,1,2671,159,2830,2503,80,2583,2671,80,2751,79,79,89,108,29,21
dev_0040,5,1,3304,145,3449,3162,82,3244,3304,82,3386,63,63,79,96,33,25
dev_0040,6,1,3756,138,3894,3630,75,3705,3756,75,3831,63,63,63,96,33,25
dev_0040,7,1,4389,147,4536,4258,79,4337,4389,79,4468,68,68,63,101,33,25
dev_0040,8,1,4902,160,5062,4758,84,4842,4902,84,4986,76,76,68,109,33,25
dev_0040,9,1,5464,153,5617,5289,54,5343,5464,54,5518,99,99,76,121,22,14
dev_0040,10,1,5821,173,5994,5642,93,5735,5821,93,5914,80,80,99,102,22,14
dev_0042,1,1,1943,182,2125,1843,82,1925,1943,82,2025,100,100,0,134,34,26
dev_0042,2,1,2590,182,2772,2387,79,2466,2590,79,2669,103,103,100,136,33,25
dev_0042,3,1,3221,177,3398,3014,73,3087,3221,73,3294,104,104,103,135,31,23
dev_0042,4,1,4585,160,4745,4378,57,4435,4585,57,4642,103,103,104,150,47,39
dev_0042,5,1,5112,154,5266,4902,47,4949,5112,47,5159,107,107,103,144,37,29
dev_0042,6,1,5926,173,6099,5716,70,5786,5926,70,5996,103,103,107,138,35,27
dev_0042,7,1,6941,180,7121,6731,73,6804,6941,73,7014,107,107,103,139,32,24
dev_0042,8,1,7637,164,7801,7449,83,7532,7637,83,7720,81,81,107,116,35,27
dev_0044,1,1,1012,115,1127,937,40,977,1012,40,1052,75,75,0,105,30,22
dev_0044,2,1,1813,112,1925,1666,40,1706,1813,40,1853,72,72,75,102,30,22
dev_0044,3,1,2594,183,2777,2430,91,2521,2594,91,2685,92,92,72,128,36,28
dev_0044,4,1,2876,152,3028,2681,49,2730,2876,49,2925,103,103,92,142,39,31
dev_0044,5,1,4085,193,4278,3869,80,3949,4085,80,4165,113,113,103,147,34,26
dev_0044,6,1,5008,194,5202,4792,91,4883,5008,91,5099,103,103,113,143,40,32
dev_0044,7,1,6026,200,6226,5810,87,5897,6026,87,6113,113,113,103,157,44,36
dev_0044,8,1,6382,192,6574,6168,91,6259,6382,91,6473,101,101,113,143,42,34
dev_0049,1,1,1243,104,1347,1173,34,1207,1243,34,1277,70,70,0,94,24,16
dev_0049,2,1,1967,162,2129,1812,77,1889,1967,77,2044,85,85,70,109,24,16
dev_0049,3,1,2758,173,2931,2584,84,2668,2758,84,2842,89,89,85,123,34,26
dev_0049,4,1,3704,183,3887,3516,84,3600,3704,84,3788,99,99,89,135,36,28
dev_0049,5,1,4254,145,4399,4060,50,4110,4254,50,4304,95,95,99,135,40,32
dev_0049,6,1,4659,193,4852,4457,86,4543,4659,86,4745,107,107,95,140,33,25
dev_0049,7,1,5213,165,5378,5027,86,5113,5213,86,5299,79,79,107,111,32,24
dev_0049,8,1,5807,178,5985,5631,81,5712,5807,81,5888,97,97,79,130,33,25
dev_0041,1,1,1238,97,1335,1177,36,1213,1238,36,1274,61,61,0,87,26,18
dev_0041,2,1,1821,120,1941,1685,45,1730,1821,45,1866,75,75,61,110,35,27
dev_0041,3,1,2302,156,2458,2118,47,2165,2302,47,2349,109,109,75,146,37,29
dev_0041,4,1,3185,171,3356,2981,76,3057,3185,76,3261,95,95,109,127,32,24
dev_0041,5,1,4163,199,4362,3965,96,4061,4163,96,4259,103,103,95,142,39,31
dev_0041,6,1,4406,177,4583,4217,91,4308,4406,91,4497,86,86,103,126,40,32
dev_0041,7,1,5057,180,5237,4883,92,4975,5057,92,5149,88,88,86,127,39,31
dev_0041,8,1,5719,177,5896,5546,92,5638,5719,92,5811,85,85,88,124,39,31
dev_0041,9,1,6384,182,6566,6204,87,6291,6384,87,6471,95,95,85,134,39,31
dev_0041,10,1,7055,198,7253,6856,94,6950,7055,94,7149,104,104,95,143,39,31
dev_0055,1,1,1719,122,1841,1639,42,1681,1719,42,1761,80,80,0,112,32,24
dev_0055,2,1,2556,122,2678,2396,42,2438,2556,42,2598,80,80,80,112,32,24
dev_0055,3,1,3152,130,3282,2990,48,3038,3152,48,3200,82,82,80,120,38,30
dev_0055,4,1,3709,127,3836,3547,47,3594,3709,47,3756,80,80,82,117,37,29
dev_0055,5,1,4314,145,4459,4135,46,4181,4314,46,4360,99,99,80,135,36,28
dev_0055,6,1,5029,136,5165,4838,44,4882,5029,44,5073,92,92,99,126,34,26
dev_0055,7,1,6292,154,6446,6116,70,6186,6292,70,6362,84,84,92,116,32,24
dev_0055,8,1,6566,150,6716,6384,52,6436,6566,52,6618,98,98,84,140,42,34
dev_0050,1,1,950,117,1067,874,41,915,950,41,991,76,76,0,107,31,23
dev_0050,2,1,1572,186,1758,1401,91,1492,1572,91,1663,95,95,76,129,34,26
dev_0050,3,1,2524,179,2703,2329,79,2408,2524,79,2603,100,100,95,135,35,27
dev_0050,4,1,3510,210,3720,3289,89,3378,3510,89,3599,121,121,100,159,38,30
dev_0050,5,1,4307,196,4503,4081,91,4172,4307,91,4398,105,105,121,150,45,37
dev_0050,6,1,4788,177,4965,4592,86,4678,4788,86,4874,91,91,105,128,37,29
dev_0050,7,1,5405,177,5582,5221,84,5305,5405,84,5489,93,93,91,125,32,24
dev_0050,8,1,5788,165,5953,5618,88,5706,5788,88,5876,77,77,93,109,32,24
dev_0058,1,1,1427,98,1525,1368,39,1407,1427,39,1466,59,59,0,88,29,21
dev_0058,2,1,2433,164,2597,2302,92,2394,2433,92,2525,72,72,59,109,37,29
dev_0058,3,1,3492,191,3683,3314,85,3399,3492,85,3577,106,106,72,139,33,25
dev_0058,4,1,3965,193,4158,3756,90,3846,3965,90,4055,103,103,106,138,35,27
dev_0058,5,1,4490,219,4709,4272,104,4376,4490,104,4594,115,115,103,152,37,29
dev_0058,6,1,5022,205,5227,4808,106,4914,5022,106,5128,99,99,115,146,47,39
dev_0058,7,1,5948,214,6162,5746,111,5857,5948,111,6059,103,103,99,150,47,39
dev_0051,1,1,1043,188,1231,943,88,1031,1043,88,1131,100,100,0,120,20,12
dev_0051,2,1,1641,157,1798,1457,73,1530,1641,73,1714,84,84,100,109,25,17
dev_0051,3,1,2712,111,2823,2557,40,2597,2712,40,2752,71,71,84,101,30,22
dev_0051,4,1,3632,157,3789,3477,73,3550,3632,73,3705,84,84,71,117,33,25
dev_0051,5,1,4326,180,4506,4155,93,4248,4326,93,4419,87,87,84,127,40,32
dev_0051,6,1,5188,180,5368,5002,81,5083,5188,81,5269,99,99,87,137,38,30
dev_0051,7,1,6082,159,6241,5903,79,5982,6082,79,6161,80,80,99,115,35,27
dev_0051,8,1,6790,167,6957,6625,82,6707,6790,82,6872,85,85,80,123,38,30
dev_0051,9,1,7695,159,7854,7534,83,7617,7695,83,7778,76,76,85,108,32,24
dev_0062,1,1,1746,141,1887,1642,37,1679,1746,37,1783,104,104,0,131,27,19
dev_0062,2,1,2424,178,2602,2225,83,2308,2424,83,2507,95,95,104,121,26,18
dev_0062,3,1,2884,174,3058,2685,70,2755,2884,70,2954,104,104,95,133,29,21
dev_0062,4,1,3445,182,3627,3251,92,3343,3445,92,3537,90,90,104,128,38,30
dev_0062,5,1,4043,203,4246,3845,95,3940,4043,95,4138,108,108,90,147,39,31
dev_0062,6,1,5221,197,5418,5008,92,5100,5221,92,5313,105,105,108,150,45,37
dev_0062,7,1,5972,176,6148,5771,80,5851,5972,80,6052,96,96,105,140,44,36
dev_0059,1,1,1401,114,1515,1325,38,1363,1401,38,1439,76,76,0,104,28,20
dev_0059,2,1,2002,166,2168,1839,79,1918,2002,79,2081,87,87,76,116,29,21
dev_0059,3,1,2468,167,2635,2305,91,2396,2468,91,2559,76,76,87,110,34,26
dev_0059,4,1,3050,187,3237,2875,88,2963,3050,88,3138,99,99,76,138,39,31
dev_0059,5,1,3579,180,3759,3382,82,3464,3579,82,3661,98,98,99,135,37,29
dev_0059,6,1,4322,178,4500,4139,93,4232,4322,93,4415,85,85,98,129,44,36
dev_0059,7,1,4653,193,4846,4464,89,4553,4653,89,4742,104,104,85,142,38,30
dev_0059,8,1,5475,195,5670,5269,93,5362,5475,93,5568,102,102,104,139,37,29
dev_0056,1,1,965,126,1091,874,35,909,965,35,1000,91,91,0,116,25,17
dev_0056,2,1,1267,133,1400,1087,44,1131,1267,44,1311,89,89,91,123,34,26
dev_0056,3,1,1822,177,1999,1640,84,1724,1822,84,1906,93,93,89,125,32,24
dev_0056,4,1,3144,188,3332,2954,91,3045,3144,91,3235,97,97,93,147,50,42
dev_0056,5,1,3580,155,3735,3378,50,3428,3580,50,3630,105,105,97,145,40,32
dev_0056,6,1,4883,201,5084,4675,98,4773,4883,98,4981,103,103,105,144,41,33
dev_0056,7,1,5317,161,5478,5136,83,5219,5317,83,5400,78,78,103,121,43,35
dev_0056,8,1,5851,156,6007,5687,70,5757,5851,70,5921,86,86,78,118,32,24
dev_0056,9,1,6473,169,6642,6300,82,6382,6473,82,6555,87,87,86,123,36,28
dev_0068,1,1,1084,133,1217,989,38,1027,1084,38,1122,95,95,0,123,28,20
dev_0068,2,1,1790,145,1935,1599,49,1648,1790,49,1839,96,96,95,135,39,31
dev_0068,3,1,2527,179,2706,2350,98,2448,2527,98,2625,81,81,96,122,41,33
dev_0068,4,1,3430,162,3592,3267,80,3347,3430,80,3510,82,82,81,116,34,26
dev_0068,5,1,3950,171,4121,3790,93,3883,3950,93,4043,78,78,82,116,38,30
dev_0068,6,1,4379,177,4556,4217,93,4310,4379,93,4472,84,84,78,125,41,33
dev_0052,1,1,1332,183,1515,1231,82,1313,1332,82,1414,101,101,0,133,32,24
dev_0052,2,1,2598,195,2793,2376,74,2450,2598,74,2672,121,121,101,153,32,24
dev_0052,3,1,3040,164,3204,2837,82,2919,3040,82,3122,82,82,121,119,37,29
dev_0052,4,1,3590,203,3793,3407,102,3509,3590,102,3692,101,101,82,141,40,32
dev_0052,5,1,4210,201,4411,3999,91,4090,4210,91,4301,110,110,101,149,39,31
dev_0052,6,1,4949,189,5138,4734,84,4818,4949,84,5033,105,105,110,144,39,31
dev_0052,7,1,5712,183,5895,5518,94,5612,5712,94,5806,89,89,105,128,39,31
dev_0052,8,1,6681,189,6870,6484,81,6565,6681,81,6762,108,108,89,141,33,25
dev_0052,9,1,7354,197,7551,7135,86,7221,7354,86,7440,111,111,108,151,40,32
dev_0072,1,1,1173,118,1291,1093,38,1131,1173,38,1211,80,80,0,108,28,20
dev_0072,2,1,2208,192,2400,2032,96,2128,2208,96,2304,96,96,80,132,36,28
dev_0072,3,1,3730,170,3900,3550,86,3636,3730,86,3816,84,84,96,118,34,26
dev_0072,4,1,4716,157,4873,4558,83,4641,4716,83,4799,74,74,84,100,26,18
dev_0072,5,1,6048,182,6230,5876,84,5960,6048,84,6132,98,98,74,128,30,22
dev_0072,6,1,6700,187,6887,6505,90,6595,6700,90,6790,97,97,98,134,37,29
dev_0054,1,1,1306,164,1470,1209,67,1276,1306,67,1373,97,97,0,123,26,18
dev_0054,2,1,1833,155,1988,1661,80,1741,1833,80,1913,75,75,97,106,31,23
dev_0054,3,1,2342,162,2504,2183,78,2261,2342,78,2420,84,84,75,114,30,22
dev_0054,4,1,2546,176,2722,2362,76,2438,2546,76,2622,100,100,84,130,30,22
dev_0054,5,1,3421,180,3601,3222,81,3303,3421,81,3502,99,99,100,133,34,26
